what,kind,bundleId,bundleVersion,description,time
java.specification.name,sysinfo,,,"Java Platform API Specification",1514101359477
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1514101359477
java.specification.version,sysinfo,,,"1.6",1514101359477
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1514101359477
java.version,sysinfo,,,"1.6.0_23",1514101359477
java.vm.info,sysinfo,,,"mixed mode",1514101359477
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1514101359477
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1514101359477
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1514101359477
java.vm.specification.version,sysinfo,,,"1.0",1514101359477
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1514101359477
java.vm.version,sysinfo,,,"19.0-b09",1514101359477
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1514101359549
started,bundle,com.altera.sbtgui.core,13.0.0.156,"com.altera.sbtgui.core",1514101359576
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1514101359593
started,bundle,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch",1514101360156
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514101360575
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1514101363475
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514101365162
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1514101365270
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1514101365298
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1514101371650
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1514101399256
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514101399647
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514101406466
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.customizePerspective",1514101406500
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514101413143
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk",1514101419600
started,bundle,org.eclipse.mylyn.wikitext.ui,1.5.0.v20110608-1400,"org.eclipse.mylyn.wikitext.ui",1514101442588
started,bundle,org.eclipse.mylyn.wikitext.core,1.5.1.v20110720-0100,"org.eclipse.mylyn.wikitext.core",1514101442675
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514101463359
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.preferences",1514101463418
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514101465078
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514119502471
started,bundle,com.altera.sbtgui.ui,13.0.0.156,"com.altera.sbtgui.ui",1514119506147
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1514119506316
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1514119506319
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1514119506319
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1514119506319
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1514119506321
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1514119506437
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514119507927
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514119528475
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514119532311
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514119535075
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514119550289
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514119606861
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1514119609312
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1514119611232
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1514119611314
