what,kind,bundleId,bundleVersion,description,time
java.vm.info,sysinfo,,,"mixed mode",1514360691316
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1514360691316
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1514360691316
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1514360691316
java.vm.specification.version,sysinfo,,,"1.0",1514360691316
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1514360691316
java.vm.version,sysinfo,,,"19.0-b09",1514360691316
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1514360691528
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1514360694591
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514360694723
started,bundle,com.altera.sbtgui.core,13.0.0.156,"com.altera.sbtgui.core",1514360695182
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514360695223
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1514360695231
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1514360695231
started,bundle,com.altera.sbtgui.ui,13.0.0.156,"com.altera.sbtgui.ui",1514360697923
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1514360698092
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1514360698195
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1514360698199
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1514360698200
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1514360698200
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1514360698395
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514360698553
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1514360714018
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1514360714059
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1514360714993
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1514360715751
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514360723020
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1514360903143
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1514360905573
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1514360905576
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514360908268
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514360911918
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514360920724
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514360924517
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1514360924531
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514360928317
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514360930963
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514360936510
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514360939737
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514361252810
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514361254230
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514361256210
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514364748277
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514364752561
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514366740268
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514366752084
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514366768873
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514366769241
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1514366770068
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514366770297
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1514366770340
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514366770488
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1514366770534
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514366774430
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514366780634
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514366804508
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1514366807836
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514366816645
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514366825680
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514366826612
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514366828115
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1514366828982
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1514366832353
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514366835269
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514366839741
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1514366840556
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1514366840739
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514366840846
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514366844257
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514366849702
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514366858852
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1514366860121
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514366862258
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514366867455
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1514366869748
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514366877059
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514366892586
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1514366893569
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514366898459
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514366909698
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1514366910904
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514366914808
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514366924163
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1514366927939
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1514366932424
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514366946726
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514367027536
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514367030003
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514367332408
