what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514212340700
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514212344618
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514212345844
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514212515111
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514212517158
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514212520199
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1514212521517
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1514212521554
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1514212557125
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514212557597
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514212571110
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514212573370
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514213356293
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514213357211
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514214091579
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514214104787
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514214108556
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514214109554
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514214219861
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514214253067
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514215009605
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514215080475
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514216648780
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1514216945386
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514216945870
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514217129866
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514217130065
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1514217131700
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1514217131701
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1514217131736
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.close",1514217131777
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514217134374
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514217155931
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514217156393
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514223795789
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1514223798418
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1514223798512
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514223811058
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514223833831
